bids_name	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-001_ses-001_acq-undistorted_T1w	0.6348057692307693	1.4975668397785347	0.5282	-1.0	4.62981007522886	4.254799974749354	5.186592817218147	4.448037433719077	0.27693389762467074	0.3744620861284483	0.348604016246881	0.623184084892273	0.2994671791791916	0.0	0.0016914875708016076	4.552145446923056	4.4450455945631235	4.522371733551109	252	288	192	1.5376623093418416	4.974036610037377	5.368372152151345	9.593417537074815	6.846732485464127	15.45532772777407	14.518641198818067	21.253863383216004	0.7986109852790833	0.7986109852790833	0.800000011920929	338.4376	0.0	4.6832	0.0	4859327.0	0.0	13.0	29.3756	-0.8819	170.7479	325.0739	307.0	832630.2881001879	25.0	682.0	199.6536	0.7055	90.7098	693.9994	693.0	1125858.8324867873	461.0	952.0	139.3234	0.1437	74.3397	929.9775	953.0	1048113.8819412816	737.0	1058.0	99.3389	0.18253781668652194	0.5399902632098302	0.5511084781043363	0.47197143716773177
sub-001_ses-003_acq-undistorted_T1w	0.6454214007782101	1.4502449642116897	0.5444	-1.0	4.711237742806108	4.334450769908114	5.269937526002412	4.529324932507799	0.2767714225138715	0.3737343615293889	0.3494942159567396	0.6089585423469543	0.3028475284576416	0.0	0.0015612340219557468	4.599450436072277	4.489226834596104	4.567832446477148	252	288	192	1.5607738612341802	4.906428687510794	5.3265245251832845	9.512371026804878	5.278675368624607	11.800393646635008	11.085218274111675	16.17658580707541	0.7986109852790833	0.7986109852790833	0.800000011920929	184.9439	0.0	5.8134	0.0	4362461.0	0.0	13.0	38.4741	-0.8716	167.0567	326.3864	310.0	823489.9152667376	26.0	682.0	198.6193	0.6909	89.8665	693.0831	693.0	1111987.9173677326	456.0	954.0	141.2432	-0.1484	76.0068	926.4934	950.0	1039865.1698587338	732.0	1055.0	99.8699	0.18083726705916484	0.5343281113334719	0.5459073128639139	0.47702585224651783
sub-001_ses-004_acq-undistorted_T1w	0.6688786290322579	1.4190924373775784	0.5427	11729.7277	4.654975526905699	4.275886586767488	5.213802560635846	4.475237433313765	0.2782653197174382	0.37306308968499957	0.3486715905975622	0.6106797456741333	0.29168770909309394	0.0	0.0014987789307462232	4.577057417846047	4.463536567665701	4.54095653087064	252	288	192	1.5602064208996809	5.032031643195201	5.335989406815428	9.415730156351401	5.292260958824816	11.696907979058668	10.955317271452643	15.876782876474447	0.7986109852790833	0.7986109852790833	0.800000011920929	164.4745	0.0	7.7244	0.0	4388565.0	0.0	14.0	38.8705	-0.8371	172.5726	328.9404	314.0	832009.1326542846	25.0	686.0	201.2553	0.7619	89.3016	695.1119	694.0	1115453.0431220408	465.0	948.0	137.9164	0.0509	76.5803	919.7676	942.0	1042522.8266635766	729.0	1051.0	100.0453	0.17918372277103778	0.5375785353578522	0.548819073352729	0.47831428120757186
sub-001_ses-005_acq-undistorted_T1w	0.617507063197026	1.5480413249306904	0.543	9326.9406	4.670387775511149	4.297236155348794	5.235214737922669	4.478712433261984	0.2801598560404679	0.37452802194763707	0.3453121220118951	0.6418431401252747	0.32642267346382137	0.0	0.001911367713980824	4.5730150629887465	4.47137729682592	4.551078694645337	252	288	192	1.5664802711212926	4.910360259983797	5.340517636952222	9.544712379751576	23.987875244600772	53.55981325105943	50.75467374158152	74.71633272908437	0.7986109852790833	0.7986109852790833	0.800000011920929	253.0026	8.3299	8.8362	6.0	4642568.0	0.0	19.0	32.4792	-0.8368	166.4907	322.4004	305.0	838190.382561297	34.0	671.0	194.7039	0.1669	91.1758	681.8807	681.0	1120523.7982092286	450.0	939.0	138.6863	0.0517	74.9336	926.1339	950.0	1033114.8214553467	731.0	1053.0	99.5315	0.17850277601751569	0.5331044364570323	0.548035320217123	0.4762502317656319
sub-001_ses-006_acq-undistorted_T1w	0.6180603053435115	1.5401387153151715	0.5445	9878.3939	4.6694299482471076	4.274646934398251	5.237080477347075	4.496562432995998	0.279239485637128	0.3751322547067385	0.3456282596561335	0.6172414720058441	0.30473939627408986	0.0	0.0017051891856620705	4.558607118144297	4.45648853858999	4.534668268075299	252	288	192	1.5536497276004266	5.099164278077531	5.435738071030826	9.65440020741452	23.54345574929802	52.00756945262939	49.13087711027143	71.84160612888688	0.7986109852790833	0.7986109852790833	0.800000011920929	205.3348	8.6541	8.4863	6.0	4557105.0	0.0	18.0	33.5415	-0.8419	171.5921	327.3963	311.0	838174.734945351	27.0	682.0	200.1737	-0.2525	89.0165	688.1741	687.0	1126009.7311841843	464.0	938.0	134.7279	0.2853	72.9153	926.0306	949.0	1037449.5364289704	733.0	1052.0	98.2971	0.17991819857084487	0.537101690630263	0.5504225290215231	0.4828390205504114
sub-001_ses-007_acq-undistorted_T1w	0.6078564393939394	1.5669818582710853	0.5328	14035.2803	4.678901616511081	4.298262938119273	5.243704478390778	4.494737433023193	0.279030172724823	0.375681605650736	0.34528822162444106	0.6045547127723694	0.29619842767715454	0.0	0.001955246381564156	4.568218656579274	4.467357240049301	4.544625875329747	252	288	192	1.5509063532073757	5.131546888175353	5.470330168755211	9.728537264882904	6.749494317048852	14.95775030907278	14.137650461947489	20.705706759720837	0.7986109852790833	0.7986109852790833	0.800000011920929	289.0698	0.0	5.2572	0.0	4685584.0	0.0	13.0	30.09	-0.9053	171.1295	325.758	310.0	836022.112413379	26.0	681.0	199.883	-0.2617	88.4373	688.5346	687.0	1125606.3331212546	465.0	938.0	133.8777	0.1664	72.0368	927.3764	951.0	1034542.5572259044	734.0	1052.0	97.7536	0.17913641012126302	0.5360947772918605	0.5496320858207148	0.4797527402224594
sub-001_ses-008_acq-undistorted_T1w	0.6217003831417625	1.5388812716892029	0.5396	13018.0739	4.702079271086579	4.325835812028972	5.263914568531674	4.516487432699092	0.2789279688402027	0.3750884318548692	0.3459835993049281	0.6197696328163147	0.31015345156192775	0.0	0.001809595336344697	4.5624356388462735	4.459156609717994	4.535729735490647	252	288	192	1.5658066752581012	5.122876066837634	5.448011915601278	9.655353004708099	6.212616097129729	13.787999596210495	13.0064124097974	19.018621536051977	0.7986109852790833	0.7986109852790833	0.800000011920929	247.36	0.0	5.8401	0.0	4598040.0	0.0	13.0	32.6903	-0.9122	169.571	325.4386	310.0	836904.4040640444	27.0	678.0	197.9809	-0.1858	88.7348	689.1618	688.0	1125427.3346559105	465.0	939.0	134.2995	0.1539	73.529	925.4848	949.0	1038100.2636494642	733.0	1050.0	98.2874	0.17937102315550044	0.5364472506655146	0.5506941559447263	0.4701726801667434
sub-001_ses-009_acq-undistorted_T1w	0.6157291666666667	1.5414172576301939	0.539	11716.7094	4.705747096820142	4.316682419282382	5.267871438720349	4.532687432457694	0.28113565984018396	0.3742913327635722	0.3445730073962438	0.6336669921875	0.31705441772937776	0.0	0.0015997240548082658	4.557276968597791	4.455441904360406	4.534501516857285	252	288	192	1.5420595262116625	5.082962692141387	5.4017184801102465	9.580133221977688	5.6999360522022835	12.532551704521687	11.862687424882528	17.355574517923618	0.7986109852790833	0.7986109852790833	0.800000011920929	211.7127	0.0	6.7434	0.0	4499078.0	0.0	14.0	35.8605	-0.8689	171.9827	328.1059	312.0	843891.0957929881	24.0	684.0	202.3267	-0.3156	89.1395	687.891	686.0	1123518.5288526725	464.0	940.0	134.9606	0.1938	73.413	926.7937	950.0	1034312.377723983	732.0	1053.0	99.1635	0.17934241359226685	0.5336579731691601	0.546559809286842	0.45917017675112887
sub-001_ses-010_acq-undistorted_T1w	0.6091543478260869	1.5774830440399523	0.5443	9453.3347	4.721104186321418	4.3501405115106815	5.282659614963471	4.530512432490104	0.27816235511187726	0.3766840032227194	0.3451536416654033	0.6316432952880859	0.318336746096611	0.0	0.0015094033271926734	4.567132203884816	4.4673480988627405	4.548232746013425	252	288	192	1.529077567740507	4.901579608661974	5.217110125809244	9.220673201025251	22.09417239983812	49.49094617563739	47.13423445298798	69.81758478348846	0.7986109852790833	0.7986109852790833	0.800000011920929	188.2364	8.8956	8.7023	6.0	4417705.0	0.0	18.0	35.2899	-0.8242	167.7138	317.1595	300.0	832995.559361981	26.0	666.0	196.1966	-0.4605	91.5225	672.3979	672.0	1128032.2308208034	444.0	928.0	137.0986	0.1919	76.6041	922.7633	948.0	1033610.2118824092	720.0	1051.0	102.8124	0.18595275174246023	0.5403462693123676	0.5508839771180825	0.47943291864681975
sub-001_ses-011_acq-undistorted_T1w	0.6025823970037453	1.5750125049806243	0.5376	9842.2005	4.732066715974281	4.342038945016777	5.3052112706907035	4.548949932215364	0.2784022336288129	0.3758408604857081	0.34575690588547914	0.6241728663444519	0.31525140851736067	0.0	0.0017452736439396077	4.585317899846609	4.486217179409909	4.56575171533707	252	288	192	1.576967802506888	5.041819108217921	5.466154003269164	9.779675099082684	25.12081822777319	55.33041956921104	52.449468282638975	76.89716705093271	0.7986109852790833	0.7986109852790833	0.800000011920929	386.6744	8.1107	7.6077	6.0	4733706.0	0.0	17.0	28.3365	-0.8872	166.076	328.6647	311.0	830707.164656413	33.0	680.0	197.2138	0.0246	88.7571	685.7368	685.0	1121448.2423742914	457.0	938.0	135.8636	0.0296	72.1324	928.7122	952.0	1031682.5953754664	736.0	1053.0	97.3447	0.18240154206801457	0.5350369001266325	0.5502731348985412	0.4737489982478953
