bids_name	NumberOfShells	bValues	bValuesEstimation	bdiffs_max	bdiffs_mean	bdiffs_median	bdiffs_min	efc_shell01	efc_shell02	efc_shell03	efc_shell04	efc_shell05	fa_degenerate	fa_nans	fber_shell01	fber_shell02	fber_shell03	fber_shell04	fber_shell05	fd_mean	fd_num	fd_perc	ndc	sigma_cc	sigma_pca	sigma_piesno	snr_cc_shell0	snr_cc_shell1_best	snr_cc_shell1_worst	snr_cc_shell2_best	snr_cc_shell2_worst	snr_cc_shell3_best	snr_cc_shell3_worst	snr_cc_shell4_best	snr_cc_shell4_worst	spikes_global	spikes_slice_i	spikes_slice_j	spikes_slice_k	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv
sub-001_ses-001_acq-highres_dir-LR_dwi	4	[0.0, 700.0, 1000.0, 2000.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.3532	0.2206	0.256	0.0038	0.4729	0.5811	0.5936	0.6309	0.6659	0.0	0.0	321.3645	132.1631	89.698	37.2177	18.5193	19.0832	279	99.64285714285714	0.7676	47.4433	19.305	7.2633	3.7	3.62	3.62	2.41	1.69	2.08	1.26	1.57	0.92	50.56	323.35	309.86	287.9	247.1336	17.7912	40.7056	18.0	952451.0	3.0	134.0	100.8283	8.4202	171.9819	399.5587	308.0	368557.0	100.0	1049.0	316.6649	7.1288	81.5431	221.8761	219.0	102988.0	84.0	364.0	89.8449
sub-001_ses-003_acq-highres_dir-LR_dwi	4	[0.0, 700.0, 1000.0, 2000.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.3479	0.1637	0.1475	0.0064	0.4764	0.5852	0.6016	0.6438	0.6762	0.0	0.0	278.5124	114.6378	76.937	30.0619	15.5042	19.115	279	99.64285714285714	0.7194	40.0303	19.3563	7.2633	4.44	4.29	4.29	2.89	2.03	2.5	1.52	1.87	1.11	51.11	331.22	308.28	294.25	224.6313	20.7564	45.8028	20.0	957085.0	3.0	152.0	108.7617	8.4916	179.3949	404.7097	314.0	363923.0	107.0	1049.0	318.4082	6.5476	83.0257	223.1303	219.0	97254.0	98.0	365.0	85.7099
sub-001_ses-004_acq-highres_dir-RL_dwi	4	[0.0, 700.0, 1000.0, 2000.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.3476	0.1625	0.1547	0.0086	0.4743	0.5883	0.605	0.6521	0.6737	0.0	0.0	288.6587	118.0607	78.1857	28.8036	15.903	18.4681	279	99.64285714285714	0.392	37.0651	19.0454	7.5935	4.72	4.75	4.75	3.09	2.2	2.61	1.81	1.83	1.24	50.52	320.25	326.04	276.37	212.2162	17.7912	42.3067	18.0	953668.0	3.0	143.0	103.3845	9.157	169.0167	391.9027	299.0	367340.0	98.0	1049.0	320.8168	10.1734	78.5779	211.5471	207.0	107894.0	80.0	354.0	88.8582
sub-001_ses-005_acq-highres_dir-PA_dwi	4	[0.0, 700.0, 1000.0, 2000.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.3349	0.2372	0.2749	0.0085	0.39	0.4947	0.5022	0.5516	0.6018	0.0	0.0	1246.3534	407.7234	292.9816	103.9452	47.7644	5.3887	279	99.64285714285714	0.4905	32.6172	15.7645	1.6508	5.08	5.09	5.09	3.24	2.03	2.77	1.89	2.02	1.25	34.82	186.42	185.85	197.04	632.3036	8.8956	28.4404	9.0	1493890.0	2.0	106.0	106.621	8.7758	170.4993	402.6169	312.0	360602.0	103.0	1060.0	319.7126	11.6475	77.0953	228.196	223.0	102915.0	103.0	370.0	88.8716
sub-001_ses-006_acq-highres_dir-PA_dwi	4	[0.0, 700.0, 1000.0, 2000.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.33	0.2489	0.275	0.0044	0.3878	0.4852	0.4937	0.5491	0.6003	0.0	0.0	1177.6526	418.5644	300.6072	99.2048	46.4273	4.2292	279	99.64285714285714	0.488	42.2542	15.6877	1.6508	4.03	4.05	4.05	2.54	1.64	2.28	1.45	1.58	1.0	34.54	200.19	199.63	192.34	637.001	8.8956	28.4844	9.0	1493259.0	2.0	109.0	101.0127	9.3655	177.9123	400.0959	310.0	361233.0	96.0	1065.0	328.1794	8.7075	87.4735	220.8507	217.0	105238.0	83.0	369.0	92.6354
sub-001_ses-007_acq-highres_dir-LR_dwi	4	[0.0, 700.0, 1000.0, 2000.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.3404	0.1673	0.1996	0.0017	0.4683	0.5777	0.5947	0.6374	0.6661	0.0	0.0	313.9632	132.4845	87.1352	31.849	17.982	18.9834	279	99.64285714285714	0.8022	48.9259	18.6861	6.9332	3.63	3.66	3.66	2.42	1.7	2.0	1.3	1.23	0.89	50.46	333.47	323.67	285.54	217.1912	17.7912	40.4866	18.0	953322.0	3.0	133.0	101.5266	9.4981	173.4645	392.1818	299.0	367686.0	94.0	1056.0	327.576	4.3626	85.9909	214.1452	211.0	104735.0	79.0	360.0	89.4437
sub-001_ses-008_acq-highres_dir-RL_dwi	4	[0.0, 700.0, 1000.0, 2000.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.3404	0.1597	0.1669	0.01	0.465	0.5791	0.5963	0.6391	0.6689	0.0	0.0	273.5006	116.1797	76.9257	27.4435	15.9995	15.832	279	99.64285714285714	0.3579	42.9955	18.8666	7.5935	4.35	4.33	4.33	2.77	2.03	2.31	1.62	1.44	1.13	49.63	326.72	320.12	257.08	194.3669	19.2738	44.6487	19.0	955408.0	3.0	155.0	104.2455	11.1359	177.9123	399.142	298.0	365600.0	95.0	1094.0	346.4815	3.4942	85.9909	209.2927	205.0	106456.0	76.0	356.0	88.1048
sub-001_ses-009_acq-highres_dir-AP_dwi	4	[0.0, 700.0, 1000.0, 2000.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.1711	0.0905	0.1046	0.0063	0.3899	0.4889	0.5072	0.5618	0.6109	0.0	0.0	1244.7278	394.7208	250.352	76.3687	34.4401	8.0066	279	99.64285714285714	0.5446	47.4433	15.6867	1.6508	3.89	3.82	3.82	2.41	1.71	1.97	1.19	0.92	0.84	33.41	210.03	215.38	181.79	196.7843	8.8956	27.448	9.0	1492810.0	2.0	103.0	76.5166	10.8192	177.9123	414.4086	314.0	361682.0	101.0	1108.0	347.3586	7.6113	88.9561	228.1277	227.0	106664.0	83.0	376.0	94.7936
sub-001_ses-010_acq-highres_dir-RL_dwi	4	[0.0, 700.0, 1000.0, 2000.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.341	0.1616	0.1517	0.0026	0.4715	0.5816	0.5979	0.6424	0.6632	0.0	0.0	305.7029	131.7094	88.0668	32.7383	18.7692	18.509	279	99.64285714285714	0.3075	42.9955	18.9317	7.5935	4.35	4.4	4.4	2.85	1.95	2.42	1.56	1.45	1.11	49.46	327.84	318.93	258.03	170.6536	17.7912	42.4155	18.0	954527.0	3.0	146.0	99.2113	10.0068	173.4645	402.731	307.0	366481.0	102.0	1078.0	332.7953	7.4948	81.5431	221.7974	217.0	103959.0	99.0	362.0	85.619
sub-001_ses-011_acq-highres_dir-AP_run-1_dwi	4	[0.0, 700.0, 1000.0, 2000.0, 3000.0]	[700.0, 1000.0, 2000.0, 3000.0]	0.1273	0.0805	0.0861	0.0128	2.2002	1.022	0.8172	0.5942	0.6179	0.0	0.0	19.0741	110.25	107.6406	75.9388	32.6531	10.5267	9	90.0	0.5062	0.0	17.2125	1.9809	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	819.04	4597.7	4873.25	3912.55	230.0008	8.8956	27.9603	9.0	1492723.0	1.0	104.0	79.7871	10.4506	171.9819	406.0655	306.0	361769.0	93.0	1102.0	342.265	10.4376	171.9819	405.6534	306.0	362298.0	92.0	1101.0	342.3885
